6/5/17,243.99,44657990,243.97,244.3,243.76
6/2/17,244.17,88562440,243.42,244.35,243.08
6/1/17,243.36,68657470,241.97,243.38,241.64
5/31/17,241.44,90456540,241.84,241.88,240.64
5/30/17,241.5,35144010,241.34,241.79,241.16
5/26/17,241.71,46547760,241.54,241.9,241.45
5/25/17,241.76,63952460,241.2,242.08,240.96
5/24/17,240.61,48761320,240.32,240.73,239.93
5/23/17,240.05,48239370,239.95,240.24,239.51
5/22/17,239.52,60274380,238.9,239.71,238.82
5/19/17,238.31,114380500,237.33,239.08,237.27
5/18/17,236.77,106885400,235.73,237.75,235.43
5/17/17,235.82,171445400,238.1,238.64,235.75
5/16/17,240.08,50523840,240.64,240.67,239.63
5/15/17,240.3,61242740,239.47,240.44,239.45
5/12/17,238.98,53812970,239.09,239.4273,238.67
5/11/17,239.38,62232520,239.35,239.57,238.13
5/10/17,239.87,54209350,239.39,239.87,239.15
5/9/17,239.44,51126000,239.96,240.19,239.04
5/8/17,239.66,48260110,239.75,239.92,239.17
5/5/17,239.7,61561740,239.19,239.72,238.68
5/4/17,238.76,61322410,238.83,238.9225,237.78
5/3/17,238.48,72846400,238.29,238.8775,237.7
5/2/17,238.77,57123690,238.84,238.98,238.3
5/1/17,238.68,66588230,238.68,239.17,238.195
4/28/17,238.08,63426310,238.9,238.93,237.93
4/27/17,238.6,57144960,238.77,238.95,237.98
4/26/17,238.4,84210820,238.51,239.53,238.35
4/25/17,238.55,75528380,237.91,238.95,237.81
4/24/17,237.17,119008100,237.18,237.41,234.5628
4/21/17,234.59,109896300,235.25,235.31,234.13
4/20/17,235.34,92306890,234.15,235.845,233.78
4/19/17,233.44,68254750,234.52,234.95,233.18
4/18/17,233.87,83143680,233.72,234.49,233.08
4/17/17,234.57,68153720,233.11,234.57,232.88
4/13/17,232.51,92625450,233.64,234.49,232.51
4/12/17,234.03,81393040,234.74,234.96,233.77
4/11/17,235.06,87804580,234.9,235.18,233.34
4/10/17,235.34,67526890,235.36,236.255,234.73
4/7/17,235.2,74345090,235.15,236,234.64
4/6/17,235.44,68962420,234.94,236.04,234.425
4/5/17,234.78,108227700,236.26,237.39,234.54
4/4/17,235.48,56303450,235,235.58,234.555
4/3/17,235.33,85424090,235.8,236.03,233.91
3/31/17,235.74,73482420,235.9,236.51,235.68
3/30/17,236.29,56658160,235.47,236.52,235.27
3/29/17,235.54,61043150,234.99,235.81,234.725
3/28/17,235.32,93370670,233.27,235.81,233.14
3/27/17,233.62,87245320,231.93,233.92,231.61
3/24/17,233.86,112400900,234.38,235.04,232.96
3/23/17,234.03,100172100,234,235.34,233.6
3/22/17,234.28,97233080,233.77,234.61,233.05
3/21/17,233.73,131204400,237.47,237.61,233.58
3/20/17,236.77,52529210,237.03,237.36,236.32
3/17/17,237.03,88284080,237.75,237.97,237.03
3/16/17,238.48,77761390,239.11,239.2,238.1
3/15/17,238.95,95071850,237.56,239.44,237.29
3/14/17,236.9,59838300,237.18,237.24,236.19
3/13/17,237.81,57058040,237.62,237.86,237.24
3/10/17,237.69,81757000,237.97,238.02,236.59
3/9/17,236.86,90332120,236.7,237.24,235.74
3/8/17,236.56,77619600,237.34,237.64,236.4
3/7/17,237,64807970,237.36,237.77,236.76
3/6/17,237.71,54424270,237.5,238.12,237.01
3/3/17,238.42,81726380,238.17,238.61,237.73
3/2/17,238.27,70152200,239.56,239.57,238.21
3/1/17,239.78,148882400,238.39,240.32,238.37
2/28/17,236.47,95717730,236.67,236.95,236.015
2/27/17,237.11,56404310,236.64,237.31,236.35
2/24/17,236.74,82311890,235.46,236.7932,235.41
2/23/17,236.44,72812210,236.88,236.9,235.56
2/22/17,236.28,61918630,236.02,236.54,235.83
2/21/17,236.49,87736380,235.52,236.69,235.51
2/17/17,235.09,76881310,233.95,235.09,233.93
2/16/17,234.72,84574430,234.96,235.155,233.85
2/15/17,234.92,86213560,233.45,235.14,233.39
2/14/17,233.7,70023470,232.56,233.71,232.16
2/13/17,232.77,55023690,232.08,233.07,232.05
2/10/17,231.51,65951540,231,231.77,230.6216
2/9/17,230.6,65823370,229.56,230.95,229.52
2/8/17,229.24,51381110,228.61,229.39,228.31
2/7/17,228.94,57818730,229.38,229.6556,228.72
2/6/17,228.93,57729810,228.87,229.326,228.54
2/3/17,229.34,80474030,228.82,229.55,228.46
2/2/17,227.77,69506430,227.2,228.1,226.82
2/1/17,227.62,78927270,228.255,228.59,226.94
1/31/17,227.53,75379530,226.98,227.6,226.32
1/30/17,227.55,79549380,228.17,228.2,226.41
1/27/17,228.97,59643600,229.42,229.59,228.76
1/26/17,229.33,59753620,229.4,229.71,229.01
1/25/17,229.57,84105490,228.7,229.57,228.51
1/24/17,227.6,95251650,226.4,228.08,226.27
1/23/17,226.15,74924440,226.35,226.805,225.27
1/20/17,226.74,126753400,226.7,227.31,225.9719
1/19/17,225.91,66166860,226.84,227,225.41
1/18/17,226.75,54598260,226.535,226.8,225.9
1/17/17,226.25,61098430,226.31,226.78,225.8
1/13/17,227.05,62681260,226.73,227.4,226.69
1/12/17,226.53,72028310,226.5,226.75,224.955
1/11/17,227.1,74510600,226.36,227.1,225.59
1/10/17,226.46,63204500,226.48,227.45,226.01
1/9/17,226.46,46723610,226.91,227.0701,226.4163
1/6/17,227.21,71356460,226.53,227.75,225.9
1/5/17,226.4,78291080,226.27,226.58,225.48
1/4/17,226.58,78458530,225.62,226.75,225.61
1/3/17,225.24,91087570,225.04,225.83,223.8837
12/30/16,223.53,108693200,224.73,224.83,222.73
12/29/16,224.35,48614080,224.48,224.89,223.84
12/28/16,224.4,64009720,226.57,226.59,224.27
12/27/16,226.27,42619920,226.02,226.73,226
12/23/16,225.71,36670460,225.43,225.72,225.21
12/22/16,225.38,55966720,225.6,225.74,224.92
12/21/16,225.77,67782110,226.25,226.45,225.77
12/20/16,226.4,89669640,226.15,226.57,225.88
12/19/16,225.53,90032620,225.25,226.02,225.08
12/16/16,225.04,156228600,226.01,226.08,224.67
12/15/16,226.81,123647300,226.16,227.81,225.8904
12/14/16,225.88,141538000,227.41,228.23,225.365
12/13/16,227.76,110247300,227.02,228.34,227
12/12/16,226.25,101715300,226.4,226.96,225.76
12/9/16,226.51,87827850,225.41,226.53,225.37
12/8/16,225.15,96247920,224.57,225.7,224.26
12/7/16,224.6,110194800,221.52,224.67,221.38
12/6/16,221.7,59512650,221.22,221.7441,220.662
12/5/16,221,67101250,220.65,221.4,220.42
12/2/16,219.68,74621240,219.67,220.25,219.26
12/1/16,219.57,78874240,220.73,220.73,219.15
11/30/16,220.38,112309600,221.63,221.82,220.31
11/29/16,220.91,69579660,220.52,221.44,220.17
11/28/16,220.48,76527520,221.16,221.48,220.36
11/25/16,221.52,37872260,221.1,221.56,221.01
11/23/16,220.7,56502980,219.98,220.76,219.75
11/22/16,220.58,67275320,220.51,220.79,219.73
11/21/16,220.15,72151670,219.17,220.18,219
11/18/16,218.5,86161200,219.07,219.27,218.29
11/17/16,218.99,69130300,218.05,219.06,217.92
11/16/16,217.87,65385810,217.56,218.14,217.42
11/15/16,218.28,91367180,217.04,218.28,216.8
11/14/16,216.59,94378460,217.03,217.27,215.72
11/11/16,216.42,100424400,216.08,216.7,215.32
11/10/16,216.92,171730900,217.3,218.31,215.22
