date,close,volume,open,high,low
11/7/16,10.64,10583600,11.3,11.3499,10.29
11/4/16,11.16,29448930,10,12.47,9.9
11/3/16,11.94,8443867,12.55,12.6,11.82
11/2/16,12.84,5810535,12.32,13.09,12.32
11/1/16,12.48,5519979,12.72,13,12.25
10/31/16,12.78,7419912,13.54,13.6,12.72
10/28/16,13.6,2928873,13.75,14.04,13.56
10/27/16,13.73,3745203,14.2,14.34,13.7
10/26/16,14.13,3631360,13.84,14.3,13.8
10/25/16,13.88,3954995,13.91,14.109,13.6646
10/24/16,13.88,9156765,14.65,14.75,13.8
10/21/16,14.93,4049153,14.59,15.12,14.5
10/20/16,14.75,4946276,14.66,15.03,14.55
10/19/16,14.7,5013447,14.75,14.87,14.55
10/18/16,14.41,6688206,14.25,14.58,14.11
10/17/16,14.07,7751984,14.05,14.29,13.59
10/14/16,13.6,6845213,14.2,14.2,13.5
10/13/16,13.84,10570800,13.76,14.39,13.59
10/12/16,14.3,7231191,14.95,14.95,14.18
10/11/16,15.02,7877965,15.55,15.68,14.85
10/10/16,15.66,7143219,16.43,16.5,15.65
10/7/16,16.34,5570105,16.66,16.769,16.06
10/6/16,16.79,5923229,17.06,17.13,16.61
10/5/16,17.13,9223139,16.9,17.68,16.9
10/4/16,16.89,11116070,16.83,17.62,16.6
10/3/16,16.74,7277496,16.87,16.98,16.345
9/30/16,16.68,5496009,16.8,17,16.6
9/29/16,16.6,6539712,16.86,16.91,16.4
9/28/16,16.99,7939698,16.57,17.2,16.47
9/27/16,16.79,14291570,16.72,17.35,15.845
9/26/16,16.92,8842433,16.82,17.18,16.51
9/23/16,17.15,20149760,16.12,17.4068,16.1
9/22/16,16.05,18569540,15.3,16.42,15.13
9/21/16,14.97,10483070,14.62,15.05,14.26
9/20/16,14.26,22311620,15.69,15.7,13.891
9/19/16,15.31,35089430,15.6,16.44,15
9/16/16,14.96,17371570,14.66,15.07,14.51
9/15/16,14.16,8128966,13.21,14.23,13.13
9/14/16,13.07,5109756,12.81,13.25,12.81
9/13/16,12.8,5319496,13.13,13.1699,12.62
9/12/16,13.2,6563331,12.61,13.53,12.58
9/9/16,12.85,7054535,13.48,13.55,12.83
9/8/16,13.58,6149999,14.12,14.12,13.38
9/7/16,13.88,7372719,14.44,14.66,13.66
9/6/16,14.57,4835564,14.22,14.66,14.1
9/2/16,14.13,5777815,14.57,14.7,14.04
9/1/16,14.53,5559494,14.94,14.95,14.14
8/31/16,14.65,3835513,14.94,15.05,14.56
8/30/16,14.86,4722404,15,15.32,14.75
8/29/16,14.87,3642113,14.75,15.2,14.66
8/26/16,14.72,4447707,14.9,15.18,14.51
8/25/16,14.89,4043840,14.96,15.11,14.65
8/24/16,15,6485850,15.79,15.8,14.91
